Dataset,0.005,0.01,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.055,0.06,0.065,0.07,0.075,0.08,0.085,0.09,0.095,0.1
ALLAML,0.73208889,0.77286667,0.77342222,0.79037778,0.79953333,0.79388889,0.78608889,0.80186667,0.82895556,0.85757778,0.82057778,0.83340000,0.81671111,0.82133333,0.86442222,0.85606667,0.87508889,0.87780000,0.89837778,0.91122222
CLL_SUB_111,0.76612290,0.82477958,0.84026972,0.83924976,0.84835678,0.84106926,0.85295515,0.86057480,0.84644709,0.84300589,0.86165789,0.84641847,0.85308959,0.85466498,0.84639045,0.85706229,0.85974411,0.85836628,0.85155820,0.86034019
COIL20,0.62089670,0.69747013,0.70432172,0.97130177,0.97783433,0.98023892,0.98617579,0.99034172,0.99248615,0.99318577,0.99457016,0.99459814,0.99489868,0.99521120,0.99606100,0.99671556,0.99668511,0.99688660,0.99718359,0.99724822
Carcinom,0.63323140,0.77484295,0.82356309,0.85811953,0.87835548,0.89835084,0.92557925,0.92978465,0.93619339,0.93937450,0.94466639,0.94798493,0.95079264,0.95741213,0.95904844,0.95569298,0.96319844,0.96274546,0.96054986,0.96773972
GLIOMA,0.47414931,0.54151290,0.61575645,0.70986607,0.74276042,0.79339782,0.81826141,0.82810764,0.81589038,0.82632192,0.81780506,0.84629712,0.84526538,0.82308036,0.84719742,0.85691220,0.84730903,0.85464038,0.85545139,0.85682788
GLI_85,0.86157576,0.84874242,0.84521212,0.82460606,0.81939394,0.81709091,0.81459091,0.81563636,0.83036364,0.79450000,0.80213636,0.82146970,0.82398485,0.78518182,0.81274242,0.82466667,0.85968182,0.86037879,0.84598485,0.85240909
Isolet,0.60490438,0.67543451,0.72734818,0.76806218,0.78839882,0.79733419,0.83106335,0.83148141,0.87131015,0.88261688,0.89369028,0.90033622,0.90690278,0.91264145,0.91695630,0.91936239,0.92436026,0.92342970,0.92955470,0.93287297
ORL,0.83473397,0.87737019,0.88678045,0.91591987,0.92028205,0.93493109,0.94289103,0.94866186,0.96032372,0.96532532,0.97440865,0.97789583,0.97948878,0.97904808,0.98264583,0.98485096,0.98700801,0.98748718,0.98678526,0.98812340
Prostate_GE,0.68658182,0.74481818,0.82677273,0.91218182,0.92860000,0.93599091,0.95849091,0.96231818,0.96225455,0.95802727,0.95821818,0.95715455,0.95796364,0.95960000,0.95720909,0.96125455,0.95919091,0.95978182,0.96030909,0.96100000
SMK_CAN_187,0.71181579,0.74677339,0.76475877,0.76674269,0.75539766,0.75758918,0.75676901,0.76012135,0.75166374,0.75721345,0.75973099,0.75735088,0.76365789,0.75467251,0.74579240,0.75877485,0.74470614,0.74896491,0.74314620,0.74995906
TOX_171,0.56719713,0.63602687,0.69917218,0.73488885,0.72798016,0.73235164,0.78283367,0.79819547,0.80363424,0.82424702,0.84739625,0.87194322,0.87443163,0.88217695,0.88998838,0.88685648,0.88919809,0.88096314,0.89486265,0.89242163
Yale,0.74178447,0.75818495,0.76267001,0.78751398,0.80454241,0.81738447,0.83019881,0.84125233,0.85361099,0.85770084,0.86344922,0.85956296,0.86341004,0.87139068,0.88020621,0.88774910,0.88959904,0.88969701,0.89415245,0.90014146
arcene,0.86589992,0.86562208,0.86306234,0.87244904,0.87412217,0.88564882,0.88578251,0.89477027,0.88979565,0.88827689,0.89218586,0.89475736,0.89577062,0.89473172,0.89139690,0.89314468,0.88923810,0.89484241,0.90102341,0.89347658
colon,0.81625000,0.80350000,0.81187500,0.85312500,0.88187500,0.86162500,0.87293750,0.88506250,0.89687500,0.89706250,0.88218750,0.88950000,0.89118750,0.89325000,0.88787500,0.88100000,0.88675000,0.88481250,0.90231250,0.88525000
