Dataset,0.005,0.01,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.055,0.06,0.065,0.07,0.075,0.08,0.085,0.09,0.095,0.1
ALLAML,0.64861111,0.62916667,0.62083333,0.61250000,0.64027778,0.63194444,0.63472222,0.62916667,0.62361111,0.62777778,0.62500000,0.62500000,0.63333333,0.64583333,0.65416667,0.65000000,0.64166667,0.62361111,0.62916667,0.63055556
CLL_SUB_111,0.46306306,0.46216216,0.47477477,0.45585586,0.46126126,0.46486486,0.45945946,0.46306306,0.46666667,0.46216216,0.46576577,0.45855856,0.45945946,0.46036036,0.45945946,0.46306306,0.46846847,0.46846847,0.46216216,0.47927928
COIL20,0.12340278,0.11895833,0.11388889,0.30583333,0.31895833,0.31513889,0.31298611,0.32701389,0.34222222,0.34062500,0.35131944,0.34770833,0.34166667,0.35666667,0.36263889,0.35013889,0.35236111,0.36159722,0.36222222,0.35062500
Carcinom,0.21781609,0.26781609,0.26149425,0.28218391,0.30114943,0.31321839,0.32356322,0.33735632,0.34137931,0.38678161,0.33793103,0.35229885,0.33563218,0.41264368,0.39080460,0.38678161,0.44080460,0.41436782,0.47816092,0.45862069
GLIOMA,0.36200000,0.34400000,0.38000000,0.35600000,0.37400000,0.40200000,0.38400000,0.41000000,0.43400000,0.43200000,0.44800000,0.44600000,0.45000000,0.44600000,0.43800000,0.43800000,0.45800000,0.45000000,0.45600000,0.44400000
GLI_85,0.68235294,0.68117647,0.68235294,0.68235294,0.67058824,0.65176471,0.67764706,0.67764706,0.66588235,0.65294118,0.65058824,0.65764706,0.67294118,0.65647059,0.60705882,0.61294118,0.62352941,0.62000000,0.59882353,0.60117647
Isolet,0.12205128,0.13378205,0.13448718,0.14371795,0.15025641,0.14987179,0.15500000,0.16423077,0.18788462,0.19115385,0.20230769,0.21967949,0.22288462,0.21487179,0.22435897,0.23237179,0.24416667,0.23096154,0.24256410,0.23923077
ORL,0.23775000,0.25525000,0.26175000,0.26775000,0.27300000,0.28400000,0.29350000,0.30100000,0.31400000,0.33050000,0.34475000,0.36625000,0.37700000,0.37950000,0.39400000,0.41075000,0.41650000,0.41875000,0.42400000,0.44100000
Prostate_GE,0.54607843,0.55490196,0.55000000,0.56568627,0.59019608,0.63039216,0.66274510,0.75686275,0.75196078,0.76274510,0.75882353,0.72156863,0.74313725,0.72941176,0.71764706,0.70980392,0.70490196,0.71862745,0.71666667,0.71176471
