Dataset,0.005,0.01,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.055,0.06,0.065,0.07,0.075,0.08,0.085,0.09,0.095,0.1
ALLAML,0.06032638,0.03330877,0.03586770,0.01665365,0.02347741,0.02960288,0.02155376,0.01884303,0.02432157,0.02033988,0.02485544,0.03442190,0.04009646,0.04080648,0.04185215,0.04825870,0.04302691,0.03909200,0.03224509,0.03282481
CLL_SUB_111,0.02078454,0.01708947,0.02312614,0.02501128,0.02850411,0.03577225,0.01646082,0.01741163,0.02278524,0.02253981,0.02443945,0.01975589,0.03049661,0.02676315,0.02061107,0.02293454,0.02459246,0.02700629,0.02225131,0.03070386
COIL20,0.21138388,0.22225028,0.21479723,0.42158435,0.42645464,0.42627142,0.43634997,0.45157905,0.46487632,0.46770588,0.47019689,0.47295664,0.47422476,0.47760253,0.48348186,0.48001682,0.48463265,0.49541329,0.49279145,0.47962090
Carcinom,0.15107379,0.19802782,0.20077628,0.22831655,0.25685549,0.26455743,0.27579292,0.28854751,0.30863529,0.34314530,0.30336910,0.32930175,0.32219214,0.39908206,0.38787407,0.39008281,0.43911222,0.44056522,0.48881928,0.46170295
GLIOMA,0.09928193,0.09106740,0.11024718,0.08362161,0.08098286,0.12375970,0.10813834,0.12674595,0.15297866,0.15671236,0.16048605,0.15683703,0.18527561,0.17662416,0.17931167,0.17926098,0.19597697,0.18736222,0.18928915,0.18347081
GLI_85,0.01272935,0.01385323,0.01483505,0.01272935,0.01454999,0.02653230,0.02494243,0.02243695,0.02737552,0.02523454,0.02299302,0.02118317,0.03397181,0.02487569,0.02406422,0.02166309,0.02655544,0.02711069,0.02831655,0.02995770
Isolet,0.12501433,0.15768956,0.16145669,0.16717920,0.17156085,0.17852142,0.18498163,0.19815839,0.23518726,0.23867018,0.24713706,0.26465572,0.26825524,0.25935383,0.27459785,0.28444980,0.29537358,0.28494400,0.29462772,0.30718048
ORL,0.48388534,0.50987557,0.51672028,0.51988859,0.52436289,0.53775582,0.53401908,0.55000099,0.56389821,0.57733573,0.59314383,0.60996226,0.60971627,0.61952458,0.63277622,0.64135104,0.64412059,0.64452249,0.65079691,0.66292484
Prostate_GE,0.02122107,0.01415637,0.01635191,0.03435825,0.05205020,0.08396093,0.11382927,0.24152845,0.23963866,0.25075069,0.24836639,0.19729722,0.21540485,0.19495804,0.18808904,0.17485675,0.16809842,0.19732070,0.19431576,0.18545744
SMK_CAN_187,0.00005936,0.01587880,0.00786942,0.00447010,0.00392182,0.00788334,0.01148795,0.01951983,0.01920768,0.01728229,0.01574994,0.02063140,0.01881953,0.01934468,0.01910137,0.01841360,0.01800305,0.01559420,0.01343528,0.01590711
TOX_171,0.01541025,0.02874655,0.01734718,0.01879998,0.01439182,0.01636156,0.01612854,0.01934333,0.01849056,0.01715970,0.01916986,0.02243350,0.02504151,0.01806661,0.01642383,0.01547979,0.01971603,0.01871140,0.02063751,0.01833326
Yale,0.37330907,0.34174272,0.32053940,0.31445086,0.32804358,0.32258255,0.31914535,0.32786581,0.33312703,0.35014511,0.33922426,0.35436567,0.36216293,0.36385568,0.36622369,0.36300862,0.37070364,0.37674372,0.38974800,0.39323949
arcene,0.02709981,0.04454201,0.04185687,0.03716348,0.03917173,0.03917173,0.03917173,0.04655026,0.05392879,0.06130732,0.05392879,0.05392879,0.06130732,0.05392879,0.05392879,0.06130732,0.05392879,0.06130732,0.06130732,0.05392879
colon,0.03460186,0.09702023,0.15770926,0.03032428,0.07853881,0.05964878,0.07369938,0.06235984,0.09206250,0.10876502,0.12290971,0.09040814,0.02682008,0.02191625,0.05453578,0.04773642,0.05346787,0.05607348,0.04865744,0.04410142
gisette,0.01468787,0.03747220,0.02371703,0.06156092,0.05599912,0.06620622,0.06495317,0.10962868,0.11135760,0.08496534,0.07825622,0.10445447,0.13777978,0.15250481,0.12303111,0.12070198,0.15429849,0.12362540,0.12226481,0.12072822
leukemia,0.00605424,0.00999789,0.00666313,0.01187708,0.00779741,0.00633842,0.00221155,0.00581541,0.01019006,0.00896682,0.00984417,0.01303098,0.01388846,0.00999204,0.01669805,0.01760736,0.01735470,0.02734777,0.03603341,0.03363229
lung,0.06529377,0.06776087,0.06150019,0.06070367,0.06476200,0.08382889,0.07239666,0.08654847,0.08420280,0.08985421,0.13727697,0.12608105,0.13977475,0.16023543,0.15907351,0.16998430,0.16347638,0.18713901,0.18898435,0.21698378
lung_discrete,0.22844177,0.30155442,0.34007711,0.38432708,0.39157659,0.40560778,0.43515720,0.44550804,0.46834669,0.43069915,0.45826218,0.46120007,0.48095606,0.45958548,0.51934244,0.51770948,0.51961804,0.51931027,0.52221225,0.53776720
madelon,0.00032337,0.00030003,0.00016644,0.00016985,0.00039074,0.00025104,0.00025472,0.00040671,0.00022237,0.00029355,0.00027356,0.00024075,0.00018615,0.00016375,0.00010733,0.00018668,0.00024421,0.00024793,0.00036627,0.00036265
orlraws10P,0.42804955,0.46040545,0.48098811,0.50214288,0.51013949,0.51865150,0.55242453,0.53502040,0.56576319,0.56272892,0.57010564,0.54903571,0.58142669,0.58526236,0.59157806,0.58227367,0.58400994,0.60636253,0.60493253,0.63011861
pixraw10P,0.55963123,0.60108335,0.63909929,0.65745226,0.66098797,0.67688731,0.67763727,0.68857012,0.69596733,0.70992248,0.71955190,0.72301999,0.71817218,0.71979014,0.72657612,0.73559677,0.74662177,0.73857791,0.75140009,0.76148464
warpAR10P,0.32365967,0.39584772,0.39270507,0.38261205,0.36247778,0.37154187,0.36508858,0.37157646,0.34052793,0.37992512,0.34771791,0.36220017,0.35350707,0.35404130,0.32453845,0.33024275,0.33314042,0.32247302,0.31843520,0.32123095
warpPIE10P,0.28343407,0.32179417,0.33504475,0.36087655,0.39770474,0.42745964,0.46000589,0.48691758,0.52424652,0.49694447,0.50898303,0.52999943,0.49719723,0.51542617,0.48801085,0.50603649,0.49051347,0.47616513,0.48693160,0.49466813
