Dataset,0.005,0.01,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.055,0.06,0.065,0.07,0.075,0.08,0.085,0.09,0.095,0.1
ALLAML,0.73611111,0.72916667,0.74027778,0.73055556,0.70694444,0.72500000,0.69583333,0.71805556,0.69583333,0.69444444,0.72222222,0.73611111,0.74166667,0.74305556,0.74305556,0.74305556,0.73611111,0.74305556,0.74305556,0.74444444
CLL_SUB_111,0.52252252,0.52612613,0.52342342,0.52342342,0.52342342,0.52342342,0.52342342,0.52342342,0.52342342,0.52342342,0.53153153,0.53153153,0.53153153,0.53153153,0.53153153,0.53153153,0.53153153,0.53153153,0.53153153,0.53153153
COIL20,0.30048611,0.37875000,0.40388889,0.44180556,0.49479167,0.50319444,0.51131944,0.52645833,0.53590278,0.53937500,0.53520833,0.53298611,0.54500000,0.52930556,0.55875000,0.53791667,0.57486111,0.58881944,0.56958333,0.57500000
Carcinom,0.60747126,0.71149425,0.70287356,0.67471264,0.70574713,0.70574713,0.72183908,0.72701149,0.70632184,0.72643678,0.68160920,0.65000000,0.67241379,0.68908046,0.74310345,0.69655172,0.70862069,0.71781609,0.72298851,0.71149425
GLIOMA,0.58600000,0.54800000,0.57000000,0.61800000,0.59200000,0.59600000,0.59800000,0.62400000,0.63200000,0.61600000,0.62800000,0.62200000,0.62600000,0.62400000,0.62000000,0.62000000,0.61200000,0.61000000,0.61600000,0.61400000
GLI_85,0.70000000,0.70588235,0.69882353,0.67411765,0.66470588,0.66705882,0.69411765,0.68588235,0.68823529,0.70352941,0.69764706,0.70352941,0.70470588,0.69764706,0.69529412,0.69764706,0.70352941,0.70235294,0.70352941,0.68235294
Isolet,0.22141026,0.30788462,0.41243590,0.41807692,0.40814103,0.41070513,0.43493590,0.43570513,0.43198718,0.44435897,0.46006410,0.47833333,0.48038462,0.50108974,0.49192308,0.49307692,0.50429487,0.50371795,0.49839744,0.52474359
ORL,0.32550000,0.34350000,0.35550000,0.37325000,0.36750000,0.36675000,0.37500000,0.39725000,0.41550000,0.41900000,0.41875000,0.43150000,0.43325000,0.43800000,0.45200000,0.44475000,0.44100000,0.46150000,0.45250000,0.45275000
Prostate_GE,0.57843137,0.56862745,0.56862745,0.56862745,0.56862745,0.57352941,0.57352941,0.57352941,0.57352941,0.57450980,0.57352941,0.57352941,0.57352941,0.57352941,0.57352941,0.57450980,0.57450980,0.57450980,0.56862745,0.57450980
SMK_CAN_187,0.54117647,0.54331551,0.53475936,0.53475936,0.53475936,0.53475936,0.53475936,0.53155080,0.52139037,0.51871658,0.51336898,0.51336898,0.51336898,0.51336898,0.51336898,0.50802139,0.50267380,0.50267380,0.50267380,0.50909091
TOX_171,0.40877193,0.40000000,0.39415205,0.40116959,0.40058480,0.40233918,0.39064327,0.41052632,0.41637427,0.42046784,0.42222222,0.41988304,0.41988304,0.42222222,0.42280702,0.42046784,0.42163743,0.42280702,0.40877193,0.40877193
Yale,0.39575758,0.41030303,0.38969697,0.39878788,0.39939394,0.39454545,0.38121212,0.38181818,0.38242424,0.40181818,0.38303030,0.39757576,0.39939394,0.38121212,0.39030303,0.37393939,0.38787879,0.38848485,0.39212121,0.38606061
arcene,0.59000000,0.59000000,0.59400000,0.59800000,0.59000000,0.59400000,0.59400000,0.59400000,0.59000000,0.59000000,0.59700000,0.59700000,0.59700000,0.59700000,0.59000000,0.59700000,0.59700000,0.59700000,0.60400000,0.60400000
