Dataset,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0
ALLAML,0.15416917,0.16465288,0.16449293,0.16220940,0.16646528,0.14994380,0.14812652,0.16588334,0.14023177,0.14023177,0.13219579,0.14057696,0.13369166,0.14407144,0.13373986,0.12808439,0.10117348,0.04256761,0.07242522,0.09211336
CLL_SUB_111,0.18661514,0.18731680,0.18731680,0.18731680,0.18731680,0.19775451,0.18731680,0.18731680,0.18731680,0.18731680,0.18731680,0.18731680,0.18731680,0.18661514,0.18661514,0.18731680,0.18731680,0.18661514,0.18661514,0.18661514
COIL20,0.67331314,0.70693822,0.72613500,0.73918146,0.73625815,0.73310080,0.74124007,0.73277192,0.73227177,0.73885261,0.75258033,0.75664752,0.75612887,0.76180250,0.76287332,0.76908011,0.78220620,0.77079416,0.77258805,0.77111658
Carcinom,0.78027686,0.76418755,0.76107840,0.76701097,0.73699232,0.72249813,0.75060481,0.71818714,0.72253363,0.69632023,0.72135414,0.72141081,0.70633592,0.66408731,0.67827273,0.68740560,0.67897556,0.68154279,0.68764930,0.68255982
GLIOMA,0.52761353,0.51496190,0.50670400,0.49192334,0.49394744,0.49865516,0.49112686,0.48913549,0.48963199,0.50054891,0.49651115,0.49186691,0.48784240,0.48979736,0.48406603,0.47386757,0.49077470,0.50356758,0.49843514,0.52333184
GLI_85,0.09311992,0.11495978,0.12672772,0.13158976,0.11709746,0.11831877,0.11538092,0.09837290,0.08605163,0.08436010,0.08321196,0.08436010,0.08436010,0.08252441,0.08340001,0.08217585,0.07964251,0.07964251,0.11171115,0.11171115
Isolet,0.61383985,0.67539508,0.69485916,0.69384957,0.69685711,0.70465748,0.72027134,0.72590357,0.73287614,0.74109817,0.74610879,0.74509493,0.73981900,0.74635643,0.75099480,0.75765529,0.76445091,0.76518890,0.76991120,0.75992614
ORL,0.66668084,0.69601625,0.70171953,0.71644947,0.71747710,0.72967691,0.72679736,0.73887842,0.73609880,0.74238810,0.75186533,0.75450775,0.75612419,0.76579374,0.76871879,0.77048817,0.77146411,0.76965817,0.77178077,0.77340048
Prostate_GE,0.01601457,0.01604528,0.01352579,0.01491260,0.01491260,0.02107507,0.02107507,0.02107507,0.01897168,0.02013099,0.02198150,0.02322019,0.02322019,0.02322019,0.02267819,0.02267819,0.02267819,0.02267819,0.02198150,0.02198150
SMK_CAN_187,0.00444252,0.00174365,0.00056636,0.00009331,0.00022436,0.00025331,0.00025331,0.00025331,0.00025331,0.00016950,0.00022436,0.00025712,0.00028988,0.00028988,0.00032264,0.00028988,0.00025712,0.00025712,0.00025712,0.00025712
TOX_171,0.12170200,0.11530837,0.13818037,0.13967384,0.13308360,0.14839614,0.14582947,0.13448440,0.14060270,0.14143131,0.13449493,0.15274944,0.15148989,0.15564119,0.14805530,0.15567310,0.15431136,0.15071070,0.15071070,0.15072849
Yale,0.46628791,0.46008412,0.48324213,0.50049847,0.49431252,0.49853329,0.49539511,0.52223493,0.49383307,0.49145001,0.48562408,0.47702918,0.47110423,0.47422037,0.47409047,0.47097839,0.46663716,0.46978632,0.48283059,0.48402254
arcene,0.01703614,0.03179320,0.03179320,0.02441467,0.03917173,0.05392879,0.05392879,0.05392879,0.06130732,0.05392879,0.05392879,0.05392879,0.05392879,0.05392879,0.05392879,0.05392879,0.05392879,0.04655026,0.04655026,0.04655026
colon,0.01675035,0.01885754,0.01885754,0.01504145,0.01504145,0.01418857,0.01470323,0.01022352,0.00761927,0.00727310,0.00553923,0.00553923,0.00627373,0.00894714,0.00657316,0.00435349,0.00343085,0.00449348,0.00449348,0.00448070
gisette,0.25204148,0.19138486,0.15214085,0.13034459,0.12449349,0.11985679,0.12292753,0.12242394,0.12244096,0.12207249,0.12297711,0.12214602,0.12132898,0.12176700,0.12258387,0.12244921,0.12210146,0.12229535,0.12169406,0.12141543
leukemia,0.11018446,0.09649670,0.10504224,0.10934355,0.11026348,0.11051165,0.11078197,0.12056293,0.12056293,0.11478707,0.11587580,0.10820026,0.10931113,0.10820026,0.10724791,0.10978638,0.10555182,0.10656200,0.10767287,0.10767287
lung,0.54861616,0.62256893,0.60321556,0.65226778,0.66958686,0.65224618,0.61746036,0.64825042,0.66362600,0.64300349,0.62572034,0.61599083,0.61491543,0.60626711,0.62359629,0.62152528,0.59397114,0.62362236,0.60230839,0.60505486
lung_discrete,0.47563880,0.49147691,0.55349802,0.55584875,0.53400876,0.58619073,0.60381182,0.59302843,0.62676380,0.62368854,0.62255481,0.60928260,0.62823167,0.63784840,0.64297998,0.66014346,0.66050209,0.66675895,0.67353756,0.65041624
madelon,0.00651764,0.01096775,0.01286593,0.00658508,0.00660251,0.00453923,0.00888209,0.00673006,0.01120064,0.00903618,0.01119133,0.01131201,0.01121518,0.01124889,0.00898050,0.00888173,0.01111552,0.01107832,0.01108340,0.01108020
orlraws10P,0.85118061,0.87121092,0.86473089,0.86554616,0.86085195,0.86485704,0.88002731,0.86881468,0.86428700,0.86362799,0.85179126,0.86514196,0.85463069,0.84662526,0.83918907,0.82455340,0.82273327,0.82052283,0.82960570,0.82327766
pixraw10P,0.89897877,0.89954932,0.91664452,0.91850957,0.89608372,0.91977253,0.90525442,0.92432886,0.90903930,0.91046388,0.92032617,0.90362230,0.89183317,0.87836806,0.87915343,0.88216442,0.88427130,0.89036946,0.88054108,0.89069608
warpAR10P,0.34980812,0.30781122,0.21926080,0.20348047,0.19307261,0.18583581,0.19342170,0.22398396,0.21513774,0.20833004,0.23462943,0.23122676,0.23156052,0.24146607,0.23044598,0.21979437,0.20650123,0.21370123,0.21367627,0.22420916
warpPIE10P,0.25378781,0.28062924,0.29223118,0.29142444,0.29565127,0.28813591,0.27537558,0.28694325,0.27718031,0.27281283,0.27138986,0.25359281,0.27344537,0.26294639,0.25415075,0.24301665,0.23403302,0.24462726,0.25776490,0.24315873
