Dataset,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0
ALLAML,0.12531251,0.10841367,0.10227546,0.10357496,0.11444373,0.11444373,0.11444373,0.10605108,0.11444373,0.10605108,0.10605108,0.10605108,0.13364858,0.12904900,0.11485315,0.10817242,0.10829274,0.09031802,0.08255969,0.09211336
CLL_SUB_111,0.18661514,0.18661514,0.18661514,0.18661514,0.18661514,0.18661514,0.18661514,0.18661514,0.18661514,0.18661514,0.18661514,0.18661514,0.18661514,0.18661514,0.18661514,0.18661514,0.18661514,0.18661514,0.18661514,0.18661514
COIL20,0.66789173,0.69808918,0.71455504,0.71461864,0.72328427,0.73969108,0.74497706,0.73763431,0.75190835,0.75075476,0.76316697,0.77023436,0.75863024,0.76583363,0.77401586,0.77485339,0.77864813,0.77832582,0.76460381,0.77111658
Carcinom,0.76874439,0.77519105,0.77653037,0.76252532,0.77106237,0.77338916,0.75346047,0.72784168,0.72185811,0.72134271,0.71412469,0.69524538,0.68225924,0.67968247,0.67136835,0.69108473,0.69262278,0.68489238,0.68402119,0.68255982
GLIOMA,0.20969379,0.26222666,0.26965259,0.28975856,0.29253221,0.33404208,0.35369482,0.36282801,0.38694142,0.38346828,0.41028385,0.42987706,0.45943077,0.48037213,0.49322327,0.50059227,0.51498287,0.51925708,0.51905971,0.52333184
GLI_85,0.06790511,0.06796882,0.08906462,0.09393488,0.10287552,0.11083555,0.10782092,0.10782092,0.10782092,0.11083555,0.11083555,0.11083555,0.11083555,0.11171115,0.11171115,0.11171115,0.11171115,0.11171115,0.11171115,0.11171115
Isolet,0.66142714,0.72727589,0.73888668,0.73044631,0.75383127,0.76003603,0.76617025,0.75915039,0.75853393,0.76687124,0.75971167,0.76698436,0.77294871,0.76644375,0.76022831,0.76291670,0.77414024,0.77430548,0.77114583,0.75992614
ORL,0.70850369,0.73680198,0.74595032,0.74118393,0.75509572,0.75478553,0.75766259,0.77596549,0.76558586,0.76356821,0.76887827,0.76255211,0.76979481,0.77115874,0.76712392,0.76311401,0.77085845,0.76331396,0.76159650,0.77340048
Prostate_GE,0.01849805,0.01849805,0.01849805,0.01849805,0.01849805,0.01849805,0.01849805,0.01849805,0.01849805,0.01849805,0.02058812,0.02128481,0.02198150,0.02267819,0.02267819,0.02267819,0.02198150,0.02198150,0.02198150,0.02198150
SMK_CAN_187,0.00097387,0.00062165,0.00028988,0.00025712,0.00028988,0.00028988,0.00028988,0.00028988,0.00025712,0.00009331,0.00009331,0.00009331,0.00009331,0.00009331,0.00009331,0.00009331,0.00009331,0.00009331,0.00009331,0.00025712
TOX_171,0.16114870,0.09836948,0.12852265,0.13164579,0.13343263,0.13726330,0.14080578,0.14484869,0.14541458,0.14383081,0.14924936,0.14984274,0.14984274,0.15114998,0.15221957,0.15304072,0.15290254,0.15137209,0.15072849,0.15072849
Yale,0.44895474,0.43310341,0.47239406,0.48930320,0.47768747,0.48163219,0.47001121,0.46430240,0.46710659,0.46404646,0.47117677,0.46159777,0.47005884,0.46824928,0.48133418,0.47809239,0.47335766,0.47256349,0.48321694,0.48402254
arcene,0.05757799,0.06471051,0.05811750,0.07013681,0.07262058,0.08344290,0.07606437,0.08344290,0.08344290,0.08344290,0.08344290,0.07606437,0.06868585,0.06868585,0.05392879,0.05392879,0.05392879,0.05392879,0.04655026,0.04655026
colon,0.00937724,0.00418553,0.00452206,0.00300714,0.00299485,0.00255268,0.00185434,0.00275199,0.00292181,0.00374730,0.00475212,0.00329620,0.00458230,0.00312638,0.00312638,0.00312638,0.00318576,0.00309375,0.00318576,0.00448070
gisette,0.04768997,0.01873375,0.10658357,0.12304447,0.11243693,0.10986478,0.09401586,0.10698413,0.09263745,0.09925195,0.11544934,0.11978737,0.11838691,0.11814044,0.11796772,0.12062855,0.12139387,0.11779793,0.12568483,0.12141543
leukemia,0.47935085,0.34892618,0.13122188,0.11658303,0.11301197,0.11379507,0.11597258,0.11351173,0.11785489,0.11446658,0.11875884,0.11875884,0.11524968,0.11231396,0.11090653,0.11384225,0.11243482,0.11148247,0.11148247,0.10767287
lung,0.64790331,0.62698009,0.66523618,0.61068124,0.61634179,0.62390251,0.62466679,0.62531486,0.60834818,0.63635142,0.62409737,0.61960904,0.61268538,0.60005580,0.60216333,0.58271694,0.57663322,0.58269615,0.61281742,0.60505486
lung_discrete,0.53118512,0.63209537,0.66474969,0.63830454,0.67130428,0.68456130,0.68026782,0.69616111,0.67421065,0.67392794,0.68674931,0.67162582,0.67652833,0.67580820,0.67782767,0.66126200,0.64371732,0.66077727,0.65456096,0.65126914
madelon,0.00000154,0.00024567,0.00013417,0.00004822,0.00579136,0.00611189,0.00618701,0.00870232,0.00864053,0.00859040,0.00866842,0.00826470,0.00873701,0.00892208,0.00310755,0.01199713,0.00984748,0.00509210,0.01309598,0.01108020
