Dataset,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0
ALLAML,0.90260000,0.92377778,0.95266667,0.95144444,0.97053333,0.97480000,0.97377778,0.98793333,0.98493333,0.98520000,0.98711111,0.98826667,0.99133333,0.98751111,0.99213333,0.99004444,0.99313333,0.99315556,0.99124444,0.99631111
CLL_SUB_111,0.72607552,0.78444757,0.82313672,0.82056445,0.83390969,0.83607660,0.84228559,0.84068182,0.85311881,0.85698304,0.85788252,0.85329630,0.84616895,0.84429678,0.86352513,0.86913733,0.86073148,0.86652321,0.87663528,0.86367593
COIL20,0.99991756,0.99995662,0.99997798,0.99998349,0.99998531,0.99998191,0.99998400,0.99998420,0.99998674,0.99998210,0.99998088,0.99997451,0.99998362,0.99997806,0.99996895,0.99998916,0.99998337,0.99997886,0.99998280,0.99997472
Carcinom,0.97331527,0.98049769,0.98365666,0.98633144,0.98639294,0.98686661,0.98632857,0.98498277,0.98608842,0.98690753,0.98821798,0.98809260,0.98723821,0.98861399,0.98737834,0.98628730,0.98836915,0.98614643,0.99021464,0.98717101
GLIOMA,0.93319196,0.92679315,0.93031002,0.92636905,0.92807788,0.93175843,0.93546875,0.93572173,0.93744792,0.93525546,0.93419643,0.92985863,0.93349454,0.93592262,0.93194940,0.93415427,0.92992560,0.93109127,0.93486111,0.93318452
GLI_85,0.92803030,0.93816667,0.93909091,0.93216667,0.93843939,0.93598485,0.94095455,0.93907576,0.93669697,0.93701515,0.93950000,0.93751515,0.93636364,0.94612121,0.93403030,0.93498485,0.93837879,0.93489394,0.94084848,0.93527273
Isolet,0.95600288,0.98537927,0.99108868,0.99265855,0.99284626,0.99413344,0.99447532,0.99464103,0.99480053,0.99464530,0.99486421,0.99466453,0.99507382,0.99524861,0.99623034,0.99672382,0.99714712,0.99719145,0.99755481,0.99773494
ORL,0.99399038,0.99486218,0.99534936,0.99599199,0.99684936,0.99631410,0.99627083,0.99660096,0.99622596,0.99607051,0.99624519,0.99616346,0.99693109,0.99617147,0.99687500,0.99720032,0.99736699,0.99686378,0.99690064,0.99671154
Prostate_GE,0.88030909,0.89117273,0.90121818,0.92074545,0.92586364,0.92831818,0.92738182,0.92798182,0.92910000,0.93314545,0.93279091,0.92924545,0.93087273,0.93144545,0.93263636,0.93584545,0.93316364,0.93586364,0.93099091,0.93650000
SMK_CAN_187,0.72023977,0.72461550,0.72895029,0.72621784,0.72721930,0.72679386,0.72418129,0.72682018,0.72940789,0.72826462,0.71830556,0.72032602,0.72306725,0.72762135,0.73188158,0.73425292,0.72682456,0.72889912,0.72691082,0.73202193
TOX_171,0.94291201,0.94316228,0.95040351,0.94838732,0.95013836,0.95039238,0.95150514,0.95003654,0.95541463,0.95358568,0.95186334,0.95218304,0.95614745,0.94860780,0.95385502,0.95132059,0.95216353,0.95811629,0.95402314,0.95116635
Yale,0.90559092,0.91401410,0.91074671,0.91863393,0.92596416,0.92393023,0.92705042,0.93453262,0.93184134,0.93085687,0.93431971,0.93332808,0.93182031,0.93304731,0.93572760,0.93684755,0.93146762,0.93284349,0.93148411,0.93396225
arcene,0.67793427,0.74452324,0.77527229,0.77514196,0.79354259,0.82978345,0.84195639,0.84322244,0.85007744,0.85703770,0.85348679,0.85669922,0.85898105,0.86547218,0.86901877,0.87375843,0.88235262,0.89548309,0.89930171,0.90446376
colon,0.90381250,0.87875000,0.87887500,0.86918750,0.87775000,0.87887500,0.87331250,0.87818750,0.88225000,0.86962500,0.88300000,0.87362500,0.87637500,0.87956250,0.86600000,0.88675000,0.88018750,0.87287500,0.87168750,0.86812500
gisette,0.51677461,0.55839878,0.63340659,0.72872478,0.84705637,0.92444490,0.94425998,0.97190627,0.98819292,0.99212884,0.99385365,0.99497439,0.99570282,0.99545190,0.99548047,0.99563386,0.99558467,0.99573614,0.99578182,0.99575265
leukemia,0.97206667,0.98648889,0.98651111,0.98295556,0.99471111,0.99344444,0.99000000,0.99222222,0.98762222,0.98911111,0.98964444,0.98777778,0.99191111,0.98737778,0.99062222,0.98880000,0.99177778,0.98951111,0.99084444,0.99013333
lung,0.99422266,0.99285258,0.99310916,0.99438326,0.99543221,0.99591439,0.99538127,0.99551643,0.99529451,0.99491879,0.99669882,0.99662961,0.99639686,0.99585925,0.99626756,0.99600003,0.99623292,0.99631573,0.99626513,0.99584131
lung_discrete,0.96201032,0.96682659,0.97294171,0.96568810,0.96889342,0.97351581,0.97576420,0.97651260,0.97741384,0.97852252,0.97677688,0.98049905,0.98289018,0.97967361,0.98501720,0.98333174,0.98130767,0.98126630,0.97893498,0.97936282
madelon,0.54629704,0.54793772,0.68929320,0.72980636,0.71847056,0.72938831,0.71551257,0.71711095,0.76035740,0.77251213,0.76341746,0.76325192,0.75324822,0.76101139,0.76528920,0.75867737,0.78532870,0.78297914,0.77827456,0.77966317
orlraws10P,0.99855556,0.99836111,0.99880556,0.99863889,0.99877778,0.99900000,0.99908333,0.99869444,0.99922222,0.99902778,0.99861111,0.99863889,0.99866667,0.99869444,0.99850000,0.99883333,0.99905556,0.99916667,0.99908333,0.99900000
pixraw10P,0.99994444,0.99994444,0.99994444,0.99994444,1.00000000,0.99994444,0.99994444,0.99994444,0.99994444,0.99994444,0.99994444,0.99994444,0.99994444,0.99994444,1.00000000,0.99994444,0.99994444,1.00000000,0.99994444,0.99994444
warpAR10P,0.98363768,0.98566576,0.98860960,0.98636594,0.98850091,0.98885145,0.98933877,0.98988225,0.98962500,0.98882337,0.99029438,0.98820109,0.98854257,0.98953986,0.98873460,0.98914583,0.98960598,0.98987319,0.99071014,0.99110960
warpPIE10P,0.99958457,0.99911654,0.99940082,0.99947578,0.99946145,0.99963556,0.99963439,0.99918535,0.99958222,0.99959115,0.99979346,0.99967198,0.99960007,0.99956127,0.99956575,0.99971920,0.99972838,0.99960665,0.99988016,0.99969196
