Dataset,0.005,0.01,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.055,0.06,0.065,0.07,0.075,0.08,0.085,0.09,0.095,0.1
ALLAML,0.07897728,0.10892680,0.08105404,0.08948663,0.09817426,0.10525372,0.10252275,0.09072853,0.08437249,0.08437249,0.12379492,0.12282961,0.13166439,0.11807276,0.12890536,0.13031848,0.14070078,0.09590435,0.13940745,0.13515349
CLL_SUB_111,0.18653718,0.18653718,0.18653718,0.18653718,0.18684903,0.18677107,0.18684903,0.18653718,0.18653718,0.18653718,0.18653718,0.18653718,0.18653718,0.18653718,0.18653718,0.18653718,0.18653718,0.18653718,0.18653718,0.18653718
COIL20,0.59370575,0.65028165,0.67107901,0.69270757,0.69383393,0.70057182,0.70027449,0.71479650,0.73395114,0.72983311,0.73089576,0.74635552,0.73876746,0.74509762,0.72904654,0.73499356,0.73921305,0.74138184,0.73459950,0.74087792
Carcinom,0.54629914,0.55889666,0.60451352,0.62325001,0.61155768,0.62207229,0.63576682,0.66017596,0.66721011,0.65303371,0.64049371,0.66378421,0.67770813,0.66293823,0.66241828,0.64995323,0.65394971,0.67257094,0.67619461,0.68218634
GLIOMA,0.45437357,0.53898274,0.51834205,0.51033803,0.50619231,0.53693146,0.52080004,0.51787808,0.49659476,0.50338858,0.50692642,0.49751396,0.49388654,0.49535666,0.48519622,0.46962645,0.47202314,0.47190974,0.48826100,0.48167080
GLI_85,0.00010641,0.00199024,0.00362983,0.00254042,0.00399102,0.00138929,0.00496351,0.00492984,0.03820535,0.03540365,0.04128422,0.03607755,0.04461353,0.05738808,0.06958714,0.06983746,0.05026473,0.05440065,0.06661299,0.05627945
Isolet,0.31385138,0.32651474,0.32625520,0.34775785,0.38825042,0.41231602,0.41449026,0.43227331,0.43606827,0.44746682,0.43770196,0.45746122,0.50261891,0.51315835,0.52089861,0.50467189,0.50679167,0.52159299,0.51992140,0.52446946
ORL,0.61894944,0.66310164,0.68149237,0.71422958,0.71354450,0.71043007,0.72232453,0.71641527,0.71583776,0.71812579,0.72667032,0.73106384,0.73621852,0.73173967,0.74246617,0.73663037,0.75186547,0.74342203,0.74341678,0.75181879
Prostate_GE,0.03383492,0.04087910,0.05452353,0.06264656,0.05346818,0.04664430,0.05276610,0.04562936,0.05276610,0.04664430,0.04664430,0.04664430,0.04664430,0.04052249,0.04052249,0.03600523,0.03600523,0.03600523,0.04069945,0.03919370
SMK_CAN_187,0.00171146,0.00199346,0.00121388,0.00060890,0.00058508,0.00087220,0.00087220,0.00005674,0.00000189,0.00069814,0.00005674,0.00005674,0.00006589,0.00009331,0.00009331,0.00009331,0.00009331,0.00009331,0.00009331,0.00009331
TOX_171,0.05184882,0.05560392,0.05236492,0.04931415,0.06160243,0.05492562,0.05689683,0.05554637,0.05713952,0.05478136,0.05574839,0.05437306,0.05376532,0.05385124,0.05876294,0.08357187,0.10456877,0.08909050,0.10530265,0.10973651
Yale,0.43660920,0.45151864,0.43913040,0.43407991,0.42647068,0.41518589,0.43102526,0.43391249,0.42280102,0.43059444,0.45680681,0.44646239,0.45405580,0.45614751,0.45239735,0.46406387,0.45049451,0.44922279,0.45302861,0.45735623
arcene,0.00185329,0.00824648,0.01114246,0.01031534,0.01069076,0.01171669,0.01411587,0.01253920,0.01283087,0.01104267,0.01545584,0.01747634,0.01890248,0.00988455,0.00900575,0.00804262,0.00735220,0.00403595,0.00566995,0.01253513
colon,0.05936347,0.00169230,0.00066088,0.00507176,0.00267983,0.00166010,0.00227105,0.00062851,0.00180411,0.00179144,0.00012395,0.00148363,0.00144543,0.00298259,0.00268113,0.00273638,0.00249416,0.00266248,0.00094441,0.00205583
gisette,0.00059760,0.00045249,0.00025827,0.00055297,0.00017047,0.00016965,0.00046508,0.00040093,0.00012590,0.00047696,0.00044493,0.00131149,0.00052228,0.00074288,0.00179448,0.00049380,0.00184907,0.00099731,0.00198144,0.00031712
leukemia,0.04931987,0.16753524,0.21040856,0.16534627,0.12021423,0.12310770,0.10157360,0.10560057,0.10194983,0.09731995,0.09657516,0.08670321,0.09516602,0.09418739,0.09589531,0.08872531,0.07770036,0.06324256,0.06546663,0.07492314
lung,0.39752014,0.37922603,0.55792182,0.53722905,0.56659987,0.56404497,0.56038800,0.55677811,0.53601829,0.54993386,0.57419873,0.55453410,0.54960888,0.54870262,0.53754522,0.52136795,0.53980411,0.52755529,0.53042305,0.52249838
lung_discrete,0.34392439,0.43266257,0.45069477,0.49831686,0.53575489,0.54160472,0.55910890,0.56758758,0.56817581,0.60960795,0.61279337,0.60979839,0.61824516,0.59683382,0.63706286,0.64715284,0.58202066,0.59749153,0.60034362,0.63330435
madelon,0.00017198,0.00032083,0.00335370,0.00296165,0.00290806,0.00280277,0.00296537,0.00342002,0.00327167,0.00339584,0.00356108,0.00357690,0.00341966,0.00338460,0.00342267,0.00364925,0.00362540,0.00380841,0.00374462,0.00365835
orlraws10P,0.78968940,0.78294067,0.82146666,0.81851641,0.81999412,0.83130205,0.81141768,0.83120542,0.81246943,0.81659681,0.82572960,0.80955654,0.82326342,0.83031390,0.81437021,0.82560876,0.82644608,0.81520229,0.81096872,0.81666881
pixraw10P,0.83249821,0.82388603,0.84539820,0.86125515,0.86706947,0.88146925,0.87478002,0.87576049,0.87765732,0.85846086,0.85683131,0.87535194,0.85921326,0.86005395,0.85869640,0.85586393,0.86061448,0.85206661,0.86691270,0.86044659
warpAR10P,0.24451909,0.29658730,0.30052180,0.25767588,0.22558692,0.20812582,0.19647978,0.19362337,0.21181027,0.21242085,0.20206516,0.19274284,0.19119941,0.20297022,0.19451157,0.20202525,0.20368333,0.19719220,0.19930149,0.20862329
warpPIE10P,0.30937783,0.27837603,0.28554513,0.28811313,0.26071334,0.25667928,0.26001270,0.25497018,0.26232026,0.24998450,0.25611613,0.23251902,0.22261986,0.23580309,0.24730304,0.23991562,0.23746505,0.23981462,0.23422535,0.24646415
