Dataset,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0
ALLAML,0.87876190,0.91514286,0.93152381,0.90980952,0.92447619,0.92914286,0.93333333,0.94561905,0.94971429,0.94428571,0.95952381,0.95552381,0.96933333,0.96257143,0.96219048,0.96361905,0.95657143,0.95685714,0.96942857,0.95533333
CLL_SUB_111,0.72632411,0.75608696,0.78059289,0.77300395,0.77743083,0.76426877,0.76671937,0.76691700,0.77225296,0.75517787,0.76134387,0.75857708,0.74782609,0.75130435,0.74885375,0.75616601,0.74521739,0.75063241,0.71984190,0.73822134
COIL20,0.83777778,0.89791667,0.94576389,0.97263889,0.97833333,0.98944444,0.99256944,0.99687500,0.99652778,0.99756944,0.99833333,0.99833333,0.99895833,0.99909722,0.99916667,0.99923611,0.99868056,0.99868056,0.99840278,0.99875000
Carcinom,0.92297479,0.91963025,0.91275630,0.90583193,0.90522689,0.90121008,0.90356303,0.89771429,0.89541176,0.88284034,0.89315966,0.88398319,0.88625210,0.88173109,0.88912605,0.88174790,0.88517647,0.87369748,0.87248739,0.86277311
GLIOMA,0.63800000,0.67800000,0.73600000,0.76800000,0.76800000,0.78600000,0.76800000,0.76200000,0.78600000,0.77600000,0.77200000,0.77400000,0.77400000,0.77600000,0.77200000,0.77800000,0.77400000,0.75800000,0.75600000,0.77200000
GLI_85,0.83411765,0.85058824,0.87411765,0.86823529,0.86117647,0.86470588,0.86823529,0.86588235,0.86941176,0.87176471,0.87529412,0.86823529,0.87411765,0.87411765,0.87647059,0.87294118,0.87647059,0.86588235,0.86941176,0.86941176
Isolet,0.76974359,0.84410256,0.86544872,0.87256410,0.88628205,0.89467949,0.89782051,0.90358974,0.90737179,0.91801282,0.92750000,0.92923077,0.92974359,0.93089744,0.93455128,0.93410256,0.93320513,0.93717949,0.93801282,0.93961538
ORL,0.74725000,0.82075000,0.84150000,0.87000000,0.89475000,0.90250000,0.91600000,0.92050000,0.92800000,0.93175000,0.93950000,0.94550000,0.94675000,0.94650000,0.95000000,0.95025000,0.94925000,0.95025000,0.95475000,0.95150000
Prostate_GE,0.88580952,0.91019048,0.91795238,0.91219048,0.91028571,0.91100000,0.91014286,0.90523810,0.91119048,0.91309524,0.91323810,0.91204762,0.91119048,0.90438095,0.90628571,0.90814286,0.91119048,0.91004762,0.91690476,0.90423810
SMK_CAN_187,0.72721195,0.71709815,0.71820768,0.71449502,0.70852063,0.69901849,0.69786629,0.69682788,0.69795164,0.68180654,0.69628734,0.68189189,0.68557610,0.67705548,0.68186344,0.68551920,0.67765292,0.67539118,0.67641536,0.67867710
TOX_171,0.74465546,0.78668908,0.80769748,0.79842017,0.80418487,0.80821849,0.79776471,0.80825210,0.80485714,0.79726050,0.80068908,0.80421849,0.81818487,0.80252101,0.79549580,0.79884034,0.80354622,0.79662185,0.80359664,0.78431933
Yale,0.55090909,0.54848485,0.65575758,0.69333333,0.71151515,0.72666667,0.72363636,0.73212121,0.73515152,0.74848485,0.76121212,0.76666667,0.76303030,0.76242424,0.76424242,0.76848485,0.76484848,0.75818182,0.76606061,0.77030303
arcene,0.80450000,0.83750000,0.84550000,0.84650000,0.85300000,0.85350000,0.84250000,0.82900000,0.83500000,0.82800000,0.83150000,0.82250000,0.82200000,0.81100000,0.81050000,0.81650000,0.81550000,0.82300000,0.80800000,0.81650000
colon,0.76230769,0.79743590,0.81089744,0.81705128,0.82000000,0.79320513,0.80179487,0.80166667,0.79076923,0.80179487,0.81230769,0.80692308,0.80089744,0.80038462,0.80692308,0.80192308,0.80243590,0.79730769,0.80371795,0.80858974
gisette,0.95391429,0.95237143,0.96208571,0.96280000,0.96441429,0.96575714,0.96660000,0.96735714,0.96794286,0.96807143,0.96905714,0.97012857,0.97097143,0.97101429,0.97138571,0.97167143,0.97161429,0.97244286,0.97191429,0.97167143
leukemia,0.96657143,0.96209524,0.96219048,0.96514286,0.94971429,0.96628571,0.96361905,0.96076190,0.96200000,0.95952381,0.95380952,0.96628571,0.96609524,0.96666667,0.96647619,0.96666667,0.96380952,0.96095238,0.96066667,0.95371429
lung,0.93841463,0.93941463,0.93642683,0.94732927,0.94340244,0.94141463,0.93802439,0.93992683,0.93700000,0.93893902,0.93447561,0.93989024,0.93598780,0.93350000,0.93307317,0.93107317,0.93006098,0.93059756,0.93157317,0.92370732
lung_discrete,0.76971429,0.80380952,0.83295238,0.85419048,0.81876190,0.83142857,0.82828571,0.83676190,0.82152381,0.83819048,0.85304762,0.84238095,0.83685714,0.83647619,0.83114286,0.82952381,0.82323810,0.84914286,0.85600000,0.84485714
madelon,0.87119231,0.84761538,0.81565385,0.80219231,0.78169231,0.76680769,0.75511538,0.74492308,0.73850000,0.72369231,0.72257692,0.71776923,0.71007692,0.71080769,0.70830769,0.71761538,0.71011538,0.71315385,0.70365385,0.70465385
orlraws10P,0.93400000,0.94200000,0.95000000,0.94900000,0.96400000,0.96100000,0.96600000,0.96300000,0.96600000,0.96800000,0.96900000,0.97300000,0.97600000,0.98100000,0.97100000,0.97500000,0.97500000,0.97400000,0.97400000,0.97800000
pixraw10P,0.96300000,0.97400000,0.97600000,0.98300000,0.98700000,0.98500000,0.98500000,0.98100000,0.97700000,0.97600000,0.97800000,0.97800000,0.97700000,0.97500000,0.98100000,0.98400000,0.98100000,0.98100000,0.98400000,0.98200000
warpAR10P,0.57923077,0.69076923,0.78769231,0.81461538,0.80923077,0.82692308,0.82615385,0.83000000,0.83461538,0.84461538,0.84923077,0.85307692,0.84615385,0.85923077,0.86307692,0.87769231,0.88538462,0.88846154,0.89230769,0.88230769
warpPIE10P,0.86428571,0.88619048,0.92238095,0.93761905,0.95142857,0.95428571,0.96523810,0.97142857,0.97190476,0.97238095,0.97523810,0.97285714,0.98095238,0.97857143,0.98047619,0.98095238,0.98142857,0.98333333,0.98380952,0.98190476
