Dataset,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0
ALLAML,0.72083333,0.67916667,0.68472222,0.68194444,0.67500000,0.67500000,0.67361111,0.67638889,0.68750000,0.69027778,0.68888889,0.66250000,0.67361111,0.67083333,0.67777778,0.68194444,0.67916667,0.69166667,0.68611111,0.68611111
CLL_SUB_111,0.52342342,0.52342342,0.53153153,0.52342342,0.52342342,0.52342342,0.52342342,0.52342342,0.52342342,0.52342342,0.52342342,0.52342342,0.52342342,0.52342342,0.52342342,0.52342342,0.52342342,0.52342342,0.52342342,0.52342342
COIL20,0.49812500,0.52263889,0.56847222,0.58131944,0.58187500,0.60361111,0.59118056,0.61013889,0.61611111,0.62062500,0.60993056,0.62888889,0.62951389,0.64548611,0.65715278,0.67465278,0.65118056,0.64486111,0.65416667,0.66027778
Carcinom,0.71436782,0.71954023,0.70689655,0.71609195,0.70402299,0.69080460,0.69770115,0.67931034,0.63333333,0.62586207,0.63678161,0.62586207,0.61954023,0.62068966,0.64310345,0.64482759,0.63850575,0.64770115,0.66091954,0.65459770
GLIOMA,0.46400000,0.51200000,0.51200000,0.49400000,0.49400000,0.50600000,0.51800000,0.50800000,0.50800000,0.52800000,0.54400000,0.54200000,0.54600000,0.58200000,0.57400000,0.59400000,0.60000000,0.60000000,0.60000000,0.60600000
GLI_85,0.65058824,0.64000000,0.66117647,0.65764706,0.65647059,0.67058824,0.66941176,0.66941176,0.67294118,0.67411765,0.67411765,0.67411765,0.67411765,0.67411765,0.67411765,0.67411765,0.67411765,0.67411765,0.67411765,0.67411765
Isolet,0.39923077,0.48903846,0.55096154,0.57935897,0.58262821,0.59128205,0.59147436,0.60525641,0.60333333,0.59583333,0.60935897,0.61217949,0.60865385,0.60967949,0.61185897,0.60185897,0.60583333,0.59974359,0.61083333,0.60371795
ORL,0.36975000,0.42225000,0.45025000,0.45925000,0.47325000,0.51475000,0.54725000,0.53975000,0.55025000,0.55300000,0.57175000,0.56300000,0.57300000,0.57900000,0.57000000,0.56375000,0.56975000,0.58300000,0.57125000,0.58325000
Prostate_GE,0.61764706,0.59411765,0.57843137,0.57843137,0.57352941,0.57352941,0.57745098,0.58137255,0.57745098,0.57843137,0.58039216,0.58039216,0.58039216,0.58431373,0.58431373,0.58529412,0.58333333,0.58333333,0.58333333,0.58333333
SMK_CAN_187,0.52941176,0.51871658,0.51016043,0.50588235,0.51336898,0.51176471,0.51229947,0.51550802,0.51550802,0.51550802,0.51443850,0.51443850,0.51443850,0.51443850,0.51443850,0.51443850,0.51604278,0.51604278,0.51604278,0.51604278
TOX_171,0.40584795,0.42339181,0.42397661,0.42573099,0.43099415,0.43099415,0.43684211,0.43742690,0.43508772,0.43508772,0.43508772,0.43391813,0.43625731,0.43567251,0.43801170,0.43801170,0.43801170,0.43801170,0.43859649,0.43859649
Yale,0.32606061,0.32909091,0.32484848,0.34969697,0.33696970,0.34909091,0.36606061,0.38181818,0.35272727,0.37878788,0.38909091,0.38121212,0.39090909,0.39818182,0.40242424,0.40121212,0.40424242,0.41090909,0.40545455,0.40848485
arcene,0.59250000,0.60300000,0.59700000,0.60400000,0.62500000,0.63200000,0.62500000,0.62500000,0.62500000,0.62500000,0.61800000,0.61800000,0.61800000,0.61800000,0.61800000,0.61800000,0.61800000,0.61800000,0.61800000,0.61800000
colon,0.54677419,0.53548387,0.52419355,0.52580645,0.53064516,0.52903226,0.53225806,0.53709677,0.53709677,0.54354839,0.54516129,0.55322581,0.55483871,0.56129032,0.56129032,0.55967742,0.56290323,0.55967742,0.55806452,0.55967742
gisette,0.54034286,0.60715714,0.65067143,0.67784286,0.69151429,0.69284286,0.69585714,0.69271429,0.68908571,0.68598571,0.68468571,0.68402857,0.68345714,0.68368571,0.68387143,0.68388571,0.68384286,0.68401429,0.68381429,0.68381429
leukemia,0.67500000,0.67500000,0.68333333,0.68333333,0.67916667,0.67916667,0.68333333,0.68611111,0.68611111,0.68888889,0.68333333,0.68472222,0.68888889,0.68055556,0.68055556,0.68888889,0.68611111,0.68333333,0.68333333,0.68472222
lung,0.63940887,0.68669951,0.67192118,0.70344828,0.68226601,0.68029557,0.68226601,0.70443350,0.68275862,0.64876847,0.67438424,0.69064039,0.71231527,0.70394089,0.66847291,0.66650246,0.66502463,0.70000000,0.71724138,0.72413793
lung_discrete,0.59726027,0.65479452,0.66301370,0.68219178,0.67123288,0.68082192,0.64109589,0.65753425,0.65205479,0.64383562,0.66164384,0.66712329,0.66849315,0.67397260,0.68219178,0.69041096,0.67123288,0.68904110,0.67671233,0.66027397
madelon,0.53792308,0.53738462,0.52819231,0.54623077,0.52938462,0.53815385,0.52838462,0.52903846,0.52873077,0.54634615,0.54661538,0.54592308,0.53826923,0.55500000,0.54638462,0.54588462,0.54550000,0.54576923,0.54584615,0.54584615
orlraws10P,0.72500000,0.77600000,0.77700000,0.79400000,0.78100000,0.76000000,0.78500000,0.78900000,0.76500000,0.77200000,0.77800000,0.76400000,0.75500000,0.76400000,0.77100000,0.77100000,0.76500000,0.76100000,0.77300000,0.75400000
pixraw10P,0.68400000,0.72800000,0.74800000,0.78300000,0.78200000,0.80200000,0.78600000,0.77000000,0.76900000,0.79400000,0.80300000,0.82600000,0.81300000,0.84000000,0.83500000,0.82900000,0.83000000,0.83500000,0.82400000,0.81100000
warpAR10P,0.36230769,0.34615385,0.32384615,0.29000000,0.26076923,0.25923077,0.23230769,0.21769231,0.23076923,0.23692308,0.23230769,0.24076923,0.23692308,0.24000000,0.23769231,0.23230769,0.24307692,0.26384615,0.25153846,0.25230769
warpPIE10P,0.26238095,0.29285714,0.27666667,0.26428571,0.26000000,0.25000000,0.24761905,0.24952381,0.25809524,0.24761905,0.24809524,0.24761905,0.25571429,0.25142857,0.25619048,0.27047619,0.25380952,0.26000000,0.26380952,0.25714286
