Dataset,0.005,0.01,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.055,0.06,0.065,0.07,0.075,0.08,0.085,0.09,0.095,0.1
ALLAML,0.01106456,0.03090644,0.06297473,0.17009957,0.13331308,0.11815017,0.11977293,0.12500984,0.13258997,0.12830987,0.11791185,0.11888427,0.10369539,0.13480720,0.12744001,0.12338385,0.11162504,0.11982945,0.11936090,0.09444475
CLL_SUB_111,0.18653718,0.18653718,0.18731680,0.18731680,0.18731680,0.18731680,0.18731680,0.18661514,0.18661514,0.18661514,0.18661514,0.18661514,0.18661514,0.18661514,0.18661514,0.18661514,0.18661514,0.18661514,0.18661514,0.18661514
COIL20,0.49851677,0.57669468,0.56826785,0.57072001,0.61738966,0.63426261,0.62574298,0.65112248,0.65224831,0.65944341,0.65500137,0.66515751,0.66727723,0.66748705,0.67576237,0.67957090,0.68406973,0.68222204,0.68626745,0.68088019
Carcinom,0.64867037,0.70468693,0.73004399,0.77251149,0.77593337,0.76662807,0.78902588,0.79994123,0.78086491,0.78897955,0.80224842,0.78196439,0.78866955,0.77949642,0.78893855,0.77145281,0.77935875,0.77173929,0.78083405,0.78015066
GLIOMA,0.18596631,0.14852570,0.17625769,0.19058791,0.21144478,0.23779339,0.23235452,0.24202864,0.22764631,0.22958761,0.25786280,0.24685971,0.23620716,0.24592255,0.24157813,0.27065075,0.26738033,0.27284353,0.26921597,0.29775359
GLI_85,0.01157330,0.01246998,0.02387892,0.02607692,0.03591597,0.06038893,0.06666888,0.07082503,0.07371316,0.07371316,0.07639022,0.07639022,0.07298669,0.07255573,0.08474172,0.08506995,0.08506995,0.08413838,0.08624841,0.09088669
Isolet,0.30430466,0.32552382,0.34312488,0.39826859,0.40534894,0.40723815,0.47992145,0.51888115,0.54886966,0.56648742,0.58397753,0.59779093,0.60064277,0.60693196,0.61033621,0.62163476,0.62985662,0.63557250,0.64615869,0.64917029
ORL,0.53610972,0.54657559,0.57099806,0.58912614,0.59176183,0.59698138,0.60393559,0.60697657,0.61705602,0.62095550,0.62394571,0.62888397,0.63459524,0.64000823,0.63820845,0.64355241,0.64118396,0.64603303,0.65054719,0.65662117
Prostate_GE,0.05075776,0.04521484,0.04442589,0.05452131,0.05575232,0.05412727,0.06225252,0.06748101,0.05472930,0.05256961,0.05256961,0.04786866,0.04052249,0.04052249,0.03460101,0.03460101,0.03423473,0.03315073,0.03025248,0.03015534
SMK_CAN_187,0.00880734,0.00643883,0.00643883,0.00577692,0.00665137,0.00592235,0.00689902,0.00689902,0.00817920,0.00829602,0.00805185,0.00817920,0.00817920,0.00817920,0.00366399,0.00360082,0.00360082,0.00360082,0.00272094,0.00293220
TOX_171,0.09457838,0.09059869,0.09162722,0.10351916,0.12139561,0.11298823,0.12497701,0.12925260,0.12830192,0.12653378,0.12260705,0.12723217,0.12273453,0.13270589,0.13165572,0.13192530,0.13296925,0.13105041,0.13233712,0.13203710
Yale,0.37493635,0.37439157,0.37512726,0.37138121,0.38611394,0.40807858,0.40684784,0.41370789,0.41034839,0.40469221,0.40869615,0.40450535,0.40643369,0.41088299,0.40522398,0.39774995,0.40236072,0.39375441,0.40071343,0.40375111
